amfi_code,cagr_pct,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,scheme_name,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,raw_score,fund_score
119094,28.192608222062464,0.9982309868636403,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,1.38,Axis Midcap Fund - Regular - Growth,9.0,11.0,9.0,17.0,28.0,12.6,80.52946199829205
149323,29.558105232568344,1.1321218524747252,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,1.61,DSP Midcap Fund - Regular - Growth,8.0,6.0,8.0,38.0,22.0,13.399999999999999,77.79675491033305
118632,24.03119561352478,1.0816591793457038,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,1.51,Nippon India Large Cap Fund - Regular - Growth,11.0,8.0,11.0,24.5,23.0,13.475000000000001,77.54056362083688
101206,23.520488754230385,1.0272133278753697,0.21399784776051212,0.02108631625012803,-0.11291596329323073,1.6,ABSL Frontline Equity Fund - Regular - Growth,12.0,9.0,12.0,36.5,9.0,14.625,73.61229718189581
125497,19.003613208378557,0.7757902498211205,0.17729754927531766,0.04882040425957739,-0.15200013055606398,0.92,HDFC Top 100 Fund - Direct Plan - Growth,16.0,18.0,16.0,14.0,18.0,16.4,67.54910333048676
148568,22.499840384352243,0.9262873467360141,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,1.52,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.0,15.0,14.0,26.5,19.0,16.625,66.78052946199828
120503,18.771330105513616,0.7979728586052844,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,1.42,ICICI Pru Bluechip Fund - Regular - Growth,17.0,17.0,17.0,20.0,14.0,17.15,64.98719043552519
102885,18.218826089343754,0.817099337349437,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,1.57,UTI Nifty 50 Index Fund - Regular - Growth,18.0,16.0,19.0,34.0,7.0,18.999999999999996,58.66780529461999
118635,15.94548118508252,0.6648569985490621,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,0.89,Nippon India ETF Nifty 50 BeES,23.0,19.0,23.0,13.0,10.0,19.2,57.984628522630224
118633,16.262218000296524,0.6452074382933218,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,0.72,Nippon India Large Cap Fund - Direct - Growth,22.0,21.0,22.0,5.5,26.0,19.675,56.36208368915456
120506,17.072227512921923,0.6488787755249528,0.1625385327998104,0.04189646272811977,-0.1982565826298267,1.41,ICICI Pru Value Discovery Fund - Regular - Growth,19.0,20.0,20.0,19.0,27.0,20.25,54.39795046968402
120507,7.232410932344591,0.495723392953312,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,0.74,ICICI Pru Liquid Fund - Regular - Growth,29.0,23.0,31.0,7.0,1.0,21.8,49.10333048676344
118634,16.36139647659338,0.4484340089089915,0.1750072167561127,0.1034966369133759,-0.2334488614483311,1.53,Nippon India Small Cap Fund - Regular - Growth,21.0,26.0,18.0,28.5,32.0,23.875,42.01537147736976
125498,11.293660210400969,0.3006119210425479,0.11989100971217971,0.009054412621739154,-0.21117279560132118,0.78,HDFC Mid-Cap Opportunities Fund - Direct - Growth,26.0,27.0,26.0,10.0,29.0,24.15,41.076003415883854
120844,6.91037983940288,-0.08874729621557288,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,0.6,Kotak Liquid Fund - Regular - Growth,30.0,34.0,32.0,3.0,2.0,24.549999999999997,39.709649871904354
102887,16.828673461948984,0.6195175900829826,0.16211256794033255,0.016682689437770827,-0.21539827112383225,1.64,UTI Flexi Cap Fund - Regular - Growth,20.0,22.0,21.0,39.5,30.0,24.625,39.45345858240819
149322,13.383520958789363,0.46403744922047735,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,1.54,DSP Top 100 Equity Fund - Regular - Growth,25.0,25.0,24.0,30.5,16.0,24.725,39.111870196413314
119093,7.891944369437343,0.12961449795669325,0.08232801295222093,0.02588321244009315,-0.21751396370148224,0.75,Axis Bluechip Fund - Direct - Growth,28.0,29.0,28.0,8.0,31.0,25.55,36.29376601195558
120841,13.522349085511554,0.4942725378672348,0.13042924450705445,0.036356399022199795,-0.1757361416468729,1.59,Kotak Bluechip Fund - Regular - Growth,24.0,24.0,25.0,35.0,24.0,25.85,35.26900085397095
118636,5.313155402760827,-0.35662950751436784,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,0.55,Nippon India Gilt Securities Fund - Regular - Growth,35.0,38.0,35.0,1.0,6.0,27.75,28.77882152006831
119120,5.885271270380055,-0.22657538662791568,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,0.77,SBI Magnum Gilt Fund - Regular Plan - Growth,34.0,37.0,34.0,9.0,5.0,28.1,27.583262169086236
101208,6.504429821332125,-0.8155673679088258,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,0.79,ABSL Liquid Fund - Regular - Growth,32.0,40.0,33.0,11.0,3.0,28.150000000000002,27.412467976088795
101207,7.933120999915699,0.16266076928646786,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,1.53,ABSL Small Cap Fund - Regular - Growth,27.0,28.0,27.0,28.5,38.0,28.575,25.960717335610582
100025,4.455091155784441,-0.5670947928476846,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,0.56,HDFC Short Term Debt Fund - Regular - Growth,36.0,39.0,38.0,2.0,4.0,28.849999999999998,25.021349274124677
120842,6.696806255006482,0.07599984804658923,0.0780443887615508,0.01805687420811816,-0.24003511326274884,1.56,Kotak Emerging Equity Fund - Regular - Growth,31.0,30.0,29.0,33.0,33.0,30.849999999999998,18.189581554227154
119092,6.363494757718979,0.030784850954585916,0.0689952982167755,0.009730745001153637,-0.1440161790933726,1.64,Axis Bluechip Fund - Regular - Growth,33.0,31.0,30.0,39.5,15.0,31.075,17.42100768573868
119599,2.053064146209893,-0.05718662582817995,0.048824215945539845,0.06200180438267168,-0.5257422117012851,0.72,SBI Small Cap Fund - Direct Plan - Growth,38.0,32.0,36.0,5.5,40.0,31.424999999999997,16.22544833475662
119095,1.5204552427132478,-0.07597357117478923,0.048015953637759554,-0.066951174639292,-0.5167775370852656,1.38,Axis Small Cap Fund - Regular - Growth,39.0,33.0,37.0,17.0,39.0,33.800000000000004,8.112724167378286
100016,2.6352458116335464,-0.20151706755966936,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,1.55,HDFC Top 100 Fund - Regular Plan - Growth,37.0,35.0,39.0,32.0,34.0,35.85,1.110162254483333
102886,1.17093879842316,-0.2058316078547031,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,1.51,UTI Mid Cap Fund - Regular - Growth,40.0,36.0,40.0,24.5,35.0,36.175,0.0
